ID_Cliente,Nome_Completo,Idade,Sexo,CPF,Estado,Cidade,Região,Tempo_de_Casa,Perfil_Investidor,Patrimonio_Total,Renda_Fixa,Acoes,FIIs,Cripto,ETFs,Tesouro,Valor_Pago_Corretora,Ativo
38,Lucas Gabriel Farias,47,Não Informado,49.6.513.709-47,GO,Pires,Centro-Oeste,16,Conservador,94197.95,5,9,27,7,8,38,256.45,Ativo
39,Ana Luiza Barros,41,Pendente,69.2.617.964-60,ES,Carvalho,Sudeste,12,Arrojado,1568953.37,25,18,16,6,38,18,4357.82,Inativo
40,Davi Luiz Oliveira,59,Pendente,00.5.329.318-58,SP,Rocha de da Rosa,Sudeste,18,Conservador,171234.59,7,22,39,4,8,34,1504.17,Inativo
41,Ana Carolina da Cunha,55,Não Informado,02.4.026.811-36,SP,Almeida das Flores,Sudeste,3,Moderado,819494.86,24,11,39,10,11,12,7319.39,Inativo
42,Esther Pereira,49,Não Informado,11.5.921.249-09,RJ,da Costa de da Mota,Sudeste,11,Conservador,90949.08,16,28,36,7,6,31,908.46,Ativo
43,Benício Viana,39,Não Informado,66.1.565.452-04,MG,Lopes,Sudeste,9,Arrojado,5775011.54,14,6,28,34,26,12,21484.11,Inativo
44,Nathan Rocha,21,Não Informado,94.5.198.327-99,MG,Caldeira,Sudeste,12,Conservador,19552.79,7,32,22,6,11,37,94.42,Pendente
45,Diego Campos,66,Não Informado,55.0.229.612-10,SP,Duarte,Sudeste,14,Moderado,291908.25,8,17,22,8,12,5,2005.98,Pendente
46,Miguel Farias,45,Não Informado,97.6.438.156-15,PR,Cardoso,Sul,4,Moderado,535866.0,10,28,31,6,2,7,3720.36,Pendente
47,Maria Luiza Silveira,29,F,68.3.885.160-19,SP,Ferreira do Oeste,Sudeste,11,Arrojado,7004193.03,1,36,0,12,8,8,32394.24,Inativo
48,Sra. Eduarda Ferreira,33,Não Informado,96.8.164.535-90,SP,Costela da Mata,Sudeste,1,Moderado,660607.33,17,17,5,0,6,14,5718.35,Ativo
49,Sr. André Ramos,49,Não Informado,99.7.995.527-96,PR,Cardoso,Sul,8,Arrojado,2745133.36,23,56,26,6,4,7,8847.45,Pendente
50,Luiz Fernando Ferreira,55,Pendente,07.9.359.782-04,SP,Monteiro,Sudeste,17,Moderado,673135.81,11,18,2,4,6,1,1832.53,Inativo
51,Felipe Moura,61,Pendente,05.1.518.644-91,CE,da Cruz dos Dourados,Nordeste,6,Moderado,985908.46,3,2,28,10,10,13,9211.83,Ativo
52,Rafaela Jesus,70,F,81.6.850.542-50,RS,Vieira,Sul,19,Conservador,67339.05,41,14,39,7,8,7,301.45,Ativo
53,Ana Lívia Cunha,27,F,29.2.706.537-30,DF,Correia do Campo,Centro-Oeste,8,Conservador,199995.35,11,32,20,5,15,15,1802.19,Inativo
54,Brenda Fogaça,70,F,92.4.075.818-65,MG,da Rocha Alegre,Sudeste,9,Conservador,107268.22,22,19,32,4,19,39,542.24,Inativo
55,Maysa Ferreira,41,F,05.1.522.047-70,GO,Fernandes de Barros,Centro-Oeste,11,Moderado,924244.97,4,38,9,5,7,9,5560.31,Ativo
56,Lara Freitas,68,Pendente,71.1.798.089-32,MG,Almeida,Sudeste,18,Moderado,692278.61,27,9,6,9,12,0,2700.66,Pendente
57,Pedro Miguel Ferreira,20,Não Informado,54.0.515.319-29,SP,Pires,Sudeste,11,Arrojado,4175344.36,17,40,21,14,38,4,25306.68,Inativo
58,Sra. Maria Eduarda Alves,74,M,54.8.687.403-00,SC,Cardoso,Sul,11,Moderado,850807.09,5,19,28,6,16,16,4816.79,Inativo
59,Marcelo Azevedo,64,Não Informado,16.9.284.511-06,SP,Vieira Grande,Sudeste,17,Arrojado,3987322.18,4,53,30,36,15,7,37458.83,Ativo
60,Augusto Lima,41,Pendente,20.2.970.213-70,SP,Barbosa da Praia,Sudeste,16,Arrojado,4835044.66,21,3,35,14,40,7,46335.37,Inativo
61,Elisa Cavalcanti,51,Não Informado,81.4.473.947-71,SC,Oliveira Grande,Sul,11,Conservador,121413.87,48,15,31,6,11,47,485.28,Inativo
62,Davi Oliveira,58,F,58.3.132.370-66,SP,da Luz,Sudeste,10,Conservador,179837.13,31,27,34,3,7,4,1642.03,Pendente
63,Dr. Raul Farias,47,Pendente,52.8.922.680-01,SP,da Cruz do Campo,Sudeste,2,Arrojado,2167941.07,27,24,28,19,16,1,6509.49,Inativo
64,Lucas das Neves,55,Pendente,22.9.959.001-34,RS,Ramos,Sul,4,Moderado,947790.27,6,19,10,1,4,17,6554.37,Inativo
65,Enzo das Neves,62,M,27.6.773.592-99,SP,da Mota,Sudeste,4,Arrojado,2897275.42,17,2,36,22,26,12,24507.46,Ativo
66,Dr. Bernardo Freitas,33,F,59.5.327.877-20,SP,Silva das Flores,Sudeste,12,Moderado,980299.3,4,22,13,5,5,7,4236.56,Inativo
67,Helena Araújo,41,M,60.9.835.841-92,CE,Ferreira,Nordeste,4,Conservador,43813.74,25,20,35,7,9,3,238.67,Inativo
68,Emanuella Azevedo,63,Não Informado,78.7.298.259-54,SP,Pinto,Sudeste,17,Arrojado,7123587.76,4,24,32,14,38,20,43261.41,Inativo
69,Sra. Larissa Silva,73,M,97.4.993.097-54,SP,Nogueira,Sudeste,15,Moderado,674979.72,15,20,23,5,0,10,3599.21,Pendente
70,Fernando Barbosa,64,M,28.3.857.865-03,SP,Almeida do Galho,Sudeste,7,Moderado,318220.57,20,38,4,0,6,1,1681.17,Pendente
71,Nina da Paz,31,Não Informado,57.5.844.198-87,CE,Pinto de Minas,Nordeste,15,Moderado,740694.86,26,32,11,5,19,14,7060.22,Pendente
72,Dr. Rafael Costa,65,Pendente,33.0.833.016-42,SP,Santos da Mata,Sudeste,2,Conservador,58800.08,20,14,18,3,10,36,556.5,Ativo
73,Giovanna Nunes,59,Pendente,38.0.262.067-46,SP,Vieira Grande,Sudeste,10,Conservador,2031.11,39,16,37,9,10,46,9.28,Ativo
74,Natália Nascimento,69,M,52.7.420.549-60,SP,Jesus,Sudeste,19,Moderado,901394.53,0,4,39,3,20,11,8570.9,Inativo
75,Agatha Jesus,79,Não Informado,49.9.045.301-81,MG,da Rocha das Pedras,Sudeste,8,Arrojado,9073384.86,25,5,27,7,6,10,37076.41,Ativo
76,Maria Martins,76,Não Informado,83.3.918.785-68,RJ,Pires de Pires,Sudeste,3,Arrojado,7928569.43,21,56,15,9,38,13,78577.7,Ativo
77,Luiz Gustavo Ribeiro,26,Pendente,67.9.087.406-26,SP,Cardoso,Sudeste,15,Arrojado,9125993.44,6,10,34,18,27,11,83878.05,Inativo
78,Mirella Melo,46,Não Informado,61.8.251.286-50,SP,Duarte,Norte,11,Conservador,85315.78,49,2,36,10,9,27,263.07,Inativo
79,Enzo Gabriel da Paz,57,M,33.1.190.790-65,RJ,Araújo,Sudeste,1,Conservador,151479.7,68,28,17,4,5,23,531.37,Inativo
80,Lucas Cardoso,60,Pendente,36.4.408.926-49,SP,Peixoto de da Mota,Nordeste,10,Conservador,151122.76,54,40,9,9,12,7,1291.66,Inativo
81,Sra. Luna Nunes,53,Não Informado,68.8.263.435-19,RJ,da Conceição,Nordeste,18,Arrojado,4430391.69,16,24,12,7,22,14,39254.73,Ativo
82,Srta. Sophia Cavalcanti,37,M,33.1.739.363-70,MG,das Neves da Serra,Sudeste,2,Conservador,107591.47,57,15,24,0,1,3,793.12,Ativo
83,Dra. Letícia Barros,73,F,20.4.899.642-65,RJ,Costa,Sudeste,19,Arrojado,6838492.06,9,53,19,32,28,7,24789.67,Ativo
84,Lucas Gabriel Souza,49,F,80.8.010.062-44,SP,Pires do Galho,Sudeste,11,Conservador,100360.99,46,10,33,10,13,34,839.0,Ativo
85,Lavínia da Cruz,80,Não Informado,08.6.211.823-94,PR,Porto de Ferreira,Sul,15,Conservador,101640.85,26,27,25,5,10,31,212.92,Ativo
86,Pedro Miguel Freitas,42,Pendente,70.0.217.659-52,SP,Duarte de Freitas,Sudeste,6,Moderado,835949.07,2,18,10,7,6,19,8303.81,Inativo
87,Theo Gomes,27,Não Informado,14.2.939.685-71,PE,Fogaça,Nordeste,8,Conservador,43071.99,61,19,2,1,19,44,97.48,Ativo
88,Sr. Daniel da Costa,49,F,58.6.629.619-59,SP,Nogueira,Sudeste,10,Arrojado,7517472.13,15,3,17,34,14,19,38892.58,Inativo
89,Thales da Rosa,46,Pendente,88.6.101.581-60,SP,Peixoto,Sudeste,15,Moderado,323376.77,21,30,13,1,0,13,1344.64,Inativo
90,Dr. Kaique Caldeira,22,F,64.6.471.543-78,RJ,Peixoto,Sudeste,10,Conservador,59077.62,27,36,36,10,11,4,183.77,Inativo
91,Pietra Aragão,56,F,75.2.654.793-25,SC,Rocha do Sul,Sul,18,Conservador,27962.42,0,34,15,9,9,20,201.56,Ativo
92,Vitor Gabriel Nogueira,70,Não Informado,72.4.342.661-18,SP,Teixeira da Prata,Sudeste,6,Moderado,291110.26,17,22,27,6,19,12,1603.33,Ativo
93,Clarice Rodrigues,28,Pendente,09.6.561.014-48,SP,Fogaça,Sudeste,2,Arrojado,5559513.79,28,33,32,14,36,14,14898.69,Ativo
94,Alice Nogueira,27,Não Informado,45.7.387.571-90,SP,Nunes da Serra,Sudeste,10,Arrojado,6177118.58,13,46,24,20,14,8,32910.47,Pendente
95,Ana Teixeira,32,Não Informado,22.6.609.379-74,SP,Novaes,Sudeste,16,Moderado,235746.44,21,14,4,8,19,0,1512.38,Inativo
96,Mirella Araújo,43,Pendente,15.5.792.499-69,SP,Pereira,Norte,8,Arrojado,8278568.1,2,52,7,13,18,2,51506.93,Ativo
97,Carolina Barros,36,F,25.7.905.072-80,SP,Nascimento Alegre,Sudeste,17,Moderado,293559.12,11,16,24,6,8,3,2745.74,Inativo
98,Giovanna Mendes,54,Não Informado,88.1.914.858-77,SP,Freitas das Pedras,Sudeste,3,Arrojado,5454728.63,21,50,20,3,1,8,22903.44,Inativo
99,Lucas Aragão,31,Pendente,59.6.292.330-88,PR,Monteiro,Sul,7,Conservador,197965.37,7,30,12,10,9,42,1091.3,Inativo
100,Ana Clara Barbosa,26,F,32.5.367.294-86,RJ,Farias,Sudeste,4,Conservador,65407.07,49,11,34,10,14,14,541.93,Pendente
101,Pedro Henrique da Costa,40,M,86.3.637.454-54,MG,Costela,Sudeste,13,Conservador,81167.3,52,35,18,5,12,35,222.82,Pendente
102,Ana Sophia da Rosa,76,F,42.4.154.152-60,SP,Fernandes de Moura,Sudeste,16,Moderado,830642.92,23,2,22,7,0,13,8252.19,Pendente
103,Maria Correia,62,F,71.3.611.155-21,SP,Lima,Sudeste,3,Conservador,86416.96,6,9,3,6,10,5,410.36,Inativo
104,Alice Lima,23,M,21.9.656.523-79,AM,Novaes do Oeste,Norte,16,Conservador,128673.65,47,23,24,2,7,3,1204.28,Inativo
105,Olivia Farias,49,Não Informado,13.7.918.055-41,SP,Jesus,Sudeste,11,Arrojado,7490616.75,9,2,34,35,8,19,38456.89,Inativo
106,Maria Vitória Costa,63,Pendente,66.6.188.924-14,SP,Monteiro,Sudeste,14,Moderado,637084.98,5,39,3,6,0,9,6109.29,Pendente
107,Mirella Moura,47,Pendente,90.4.210.202-02,SP,Santos,Sudeste,19,Conservador,107741.64,27,33,27,1,14,32,265.39,Ativo
108,Sr. Kaique Rodrigues,58,M,77.8.507.925-05,RJ,Pinto,Sudeste,19,Arrojado,3333222.65,11,52,28,5,36,15,20635.43,Ativo
109,Laís da Costa,65,Não Informado,35.3.654.195-02,SP,da Luz do Galho,Sudeste,12,Arrojado,7505005.36,7,3,35,10,19,10,70916.9,Pendente
110,Paulo Teixeira,65,Pendente,37.5.973.832-07,SP,Rezende de Pinto,Sudeste,2,Conservador,161063.27,69,3,19,3,17,48,332.39,Ativo
111,Dra. Emanuelly Martins,80,F,41.0.386.571-72,SP,Carvalho,Sudeste,14,Moderado,708753.47,21,13,30,4,15,0,6991.8,Ativo
112,Elisa Rezende,22,F,29.1.212.775-08,RJ,Mendes do Sul,Sudeste,9,Moderado,259864.39,17,39,9,3,6,9,2048.46,Inativo
113,Sr. Luigi da Rosa,79,Não Informado,68.0.442.067-52,SP,Ferreira Alegre,Sudeste,9,Conservador,90931.5,32,4,32,3,14,43,804.98,Inativo
114,Pietra Freitas,19,M,37.2.151.070-43,RJ,Silveira,Sudeste,10,Conservador,160975.45,10,33,39,1,16,1,1152.18,Ativo
115,Erick Oliveira,48,M,14.6.263.838-40,SP,Duarte de Ribeiro,Sudeste,13,Moderado,596901.11,11,14,36,3,9,9,4140.0,Ativo
116,Sra. Lavínia Aragão,32,F,13.3.480.396-06,SC,Gonçalves,Sul,11,Arrojado,8032915.95,10,19,11,1,24,11,34119.5,Ativo
117,Olivia Farias,49,M,10.3.930.870-85,SP,Moura do Amparo,Sudeste,11,Conservador,48073.68,22,14,24,7,7,37,460.88,Inativo
118,Isabel Pereira,43,Pendente,15.4.522.675-06,SP,Moraes dos Dourados,Sudeste,19,Moderado,773550.11,28,13,1,6,18,17,6873.27,Pendente
119,Fernando Dias,20,F,95.9.391.725-04,SP,da Mota,Sudeste,17,Arrojado,8082926.13,7,11,12,28,5,12,77511.91,Ativo
120,Vinicius Teixeira,42,Não Informado,62.6.765.861-90,PR,da Mota,Sul,6,Arrojado,8967882.28,3,38,35,18,11,14,36349.19,Ativo
121,Sra. Emilly Souza,75,Não Informado,06.2.962.015-67,RS,Castro do Oeste,Sul,2,Conservador,90806.2,56,1,10,1,7,2,236.1,Ativo
122,João Guilherme da Luz,58,Pendente,73.1.032.417-04,SP,Alves da Prata,Sudeste,13,Arrojado,9330162.4,16,18,4,16,22,13,18945.12,Pendente
123,Augusto Barros,60,M,15.8.693.806-18,SC,Costela do Amparo,Sul,11,Arrojado,3385039.57,19,22,15,7,2,8,29438.44,Pendente
124,Murilo Gomes,29,F,33.2.061.632-34,SC,Rocha de Pires,Sul,2,Moderado,658171.43,7,16,34,0,11,6,6490.91,Inativo
125,Benjamin Fernandes,54,Pendente,91.1.914.856-92,SC,Correia de Campos,Sul,14,Conservador,18318.46,39,34,21,9,0,28,151.19,Inativo
126,Ana Julia Barros,39,Não Informado,44.7.132.475-61,SP,da Costa,Sudeste,1,Moderado,229972.54,8,24,28,0,18,3,1831.96,Ativo
127,Fernanda Cardoso,74,Pendente,02.3.303.070-04,SP,Costa,Sudeste,7,Conservador,88901.6,64,19,21,4,1,20,682.46,Ativo
128,Maria das Neves,65,M,40.6.029.333-40,PI,Porto dos Dourados,Nordeste,15,Moderado,604101.1,19,1,15,6,4,2,2898.52,Ativo
129,Lara Lima,72,Não Informado,74.3.748.969-45,MG,Castro,Sudeste,17,Conservador,173061.36,68,19,5,2,16,34,1651.7,Inativo
130,Pedro Lucas da Rosa,66,F,09.6.520.744-70,SP,Cardoso da Serra,Sudeste,5,Moderado,649165.69,18,27,19,3,6,6,4705.77,Ativo
131,Marcos Vinicius Cardoso,48,F,48.2.513.534-08,MT,Almeida,Centro-Oeste,10,Arrojado,9952783.57,23,41,25,25,18,7,33440.29,Ativo
132,Olivia Ribeiro,21,F,23.5.697.252-86,SP,Azevedo de Goiás,Sudeste,15,Arrojado,3646460.09,26,52,23,38,3,9,32599.29,Inativo
133,Sra. Pietra Ramos,42,M,08.3.505.830-10,SC,Dias,Sul,15,Moderado,707599.18,0,30,7,8,10,5,4893.64,Inativo
134,Maria Sophia da Paz,39,Não Informado,53.2.603.323-24,MG,Correia da Prata,Sudeste,12,Arrojado,8892866.22,9,28,12,3,2,2,55073.0,Inativo
135,Brenda Fogaça,25,Pendente,47.2.304.618-63,RS,Cardoso,Sul,16,Arrojado,6854863.42,1,15,21,2,40,18,14792.34,Inativo
136,Henrique Gomes,53,Não Informado,37.5.300.119-87,SP,Costa de Rezende,Sudeste,9,Conservador,102805.37,43,31,20,6,16,14,499.98,Ativo
137,Samuel Nunes,38,Não Informado,11.0.022.557-91,MG,Santos da Prata,Sudeste,12,Arrojado,1675433.92,22,39,18,39,11,18,15067.38,Pendente
138,Ana Júlia Barbosa,24,Não Informado,97.9.729.659-86,GO,Martins Paulista,Centro-Oeste,19,Moderado,346295.54,12,11,15,9,16,19,1005.8,Inativo
139,Enzo Aragão,73,Não Informado,88.9.163.756-49,SP,Barbosa da Serra,Sudeste,12,Conservador,97132.85,34,18,3,7,0,44,772.11,Pendente
140,Milena Pires,59,Não Informado,63.1.779.717-06,SP,da Mata Verde,Sudeste,19,Arrojado,1491095.04,19,51,34,35,3,3,14554.82,Ativo
141,Luiza Carvalho,70,M,37.5.899.757-70,SP,Monteiro de Oliveira,Sudeste,3,Arrojado,1159922.16,12,33,33,32,39,1,7537.94,Ativo
142,Sr. Davi Lucca Melo,30,F,16.3.735.160-75,SP,Sales da Mata,Sudeste,4,Moderado,484111.18,19,22,15,1,18,16,3843.88,Ativo
143,Sophie Vieira,64,F,16.9.958.669-16,MA,Ramos,Nordeste,6,Moderado,565910.3,18,39,0,7,11,10,5316.71,Inativo
144,Dr. Igor Correia,31,Pendente,45.2.288.515-69,RO,Silva do Sul,Norte,16,Moderado,976393.32,14,17,28,7,6,3,7513.34,Inativo
145,Letícia Oliveira,80,Não Informado,42.0.438.057-38,RJ,da Mota,Sudeste,1,Arrojado,4757301.4,22,17,34,32,21,17,35023.41,Inativo
146,Dr. Pedro Lucas Pires,18,Não Informado,39.7.359.893-28,SP,da Rocha,Sudeste,6,Conservador,148740.13,37,30,31,3,12,11,1458.63,Ativo
147,Ana Gomes,20,F,59.0.947.985-73,PR,Rodrigues de Costa,Sul,8,Arrojado,1670220.95,28,7,2,11,11,15,3415.87,Inativo
148,Maria Duarte,70,M,15.7.399.305-02,SP,Lima,Sudeste,14,Conservador,104600.65,55,22,16,3,18,8,454.87,Ativo
149,Marcos Vinicius Oliveira,28,Pendente,80.1.336.138-10,SP,das Neves,Sudeste,4,Moderado,632189.85,8,33,15,8,9,18,2238.01,Ativo
150,Lucas Gabriel Costa,58,Não Informado,65.0.618.091-90,RS,Sales,Sul,16,Conservador,149631.27,11,13,4,1,16,23,571.77,Inativo
151,Luiz Gustavo Fogaça,36,F,45.0.882.100-60,RS,Rocha do Amparo,Norte,16,Arrojado,1955219.88,24,5,31,18,16,6,12254.81,Ativo
152,Maria Clara da Conceição,69,Pendente,08.7.814.141-37,RJ,da Mota do Galho,Sudeste,4,Conservador,61633.54,52,14,17,6,10,45,534.86,Pendente
153,Bernardo Freitas,79,Não Informado,20.5.336.452-12,SP,Mendes do Galho,Sudeste,17,Moderado,302572.12,20,25,36,3,9,2,2019.17,Ativo
154,Gustavo Henrique Jesus,72,Pendente,09.9.693.084-16,MG,da Costa de Porto,Sudeste,1,Moderado,486993.28,9,7,24,8,17,11,1999.53,Ativo
155,Isabel Melo,26,Não Informado,22.9.927.503-79,RJ,Ramos Alegre,Sudeste,19,Conservador,73797.91,16,28,12,5,10,39,538.83,Ativo
156,Samuel Duarte,55,Pendente,92.6.659.184-04,PR,Dias das Pedras,Sul,7,Conservador,134048.53,36,16,37,9,1,40,1306.64,Ativo
157,Dr. Thales Nascimento,56,M,36.5.177.739-16,SP,da Costa do Amparo,Sudeste,12,Moderado,853789.41,10,35,0,9,9,16,3625.6,Ativo
158,Luiz Fernando Melo,60,Não Informado,13.7.977.236-28,SP,Pires,Sudeste,7,Conservador,26449.14,41,21,36,1,3,7,257.98,Pendente
159,Laís Alves,61,Não Informado,29.1.279.908-26,MG,Oliveira,Sudeste,7,Conservador,125019.14,36,27,37,6,1,8,266.6,Ativo
160,Brenda Cardoso,40,Pendente,91.6.247.314-06,RJ,Ferreira de Mendes,Sudeste,12,Conservador,180494.97,38,38,27,4,8,0,980.39,Inativo
161,Sra. Milena Cardoso,45,Pendente,59.4.636.887-73,RJ,Teixeira das Flores,Sudeste,19,Conservador,142120.62,55,5,0,7,14,28,460.22,Ativo
162,Raquel Rodrigues,69,Pendente,90.2.601.279-90,SP,Campos,Sudeste,13,Moderado,662120.92,23,6,35,1,5,8,1855.41,Ativo
163,Nina Gomes,72,Pendente,43.0.988.392-36,SP,Carvalho,Sudeste,19,Conservador,122196.74,51,16,26,3,19,47,415.73,Inativo
164,Vitor Hugo Castro,40,Não Informado,39.3.769.042-57,MG,da Cunha de Jesus,Sudeste,12,Conservador,18281.72,19,27,16,2,0,20,116.94,Ativo
165,Igor Caldeira,61,Não Informado,90.7.141.633-09,SP,Moraes da Praia,Sudeste,18,Moderado,471972.72,4,10,22,8,5,10,2770.03,Inativo
166,Felipe Souza,61,F,73.3.343.333-10,SC,da Mata da Serra,Sul,3,Conservador,140462.89,18,16,30,3,11,14,526.53,Pendente
167,Paulo Nascimento,29,Pendente,46.3.920.867-73,SC,Sales,Sul,11,Conservador,135486.61,46,31,22,0,10,31,1339.0,Inativo
168,Enzo Rezende,33,Não Informado,79.5.527.636-14,BA,Ramos Paulista,Nordeste,18,Arrojado,7983135.67,14,31,13,0,27,2,39060.03,Ativo
169,Lucas Gabriel Gomes,29,Não Informado,72.8.857.448-20,SC,Cardoso,Sul,3,Moderado,343911.38,4,9,4,3,5,12,1089.08,Ativo
170,Dr. Pedro Miguel Pereira,79,Pendente,39.9.824.558-85,BA,Ramos da Mata,Nordeste,6,Conservador,43878.0,18,4,30,3,7,42,208.56,Pendente
171,Luana Cavalcanti,38,Não Informado,44.9.647.598-73,RJ,Nascimento,Sudeste,12,Moderado,690931.02,14,35,26,9,8,19,6395.66,Inativo
172,Dr. Samuel Gonçalves,66,M,14.9.216.433-00,MT,Novaes,Centro-Oeste,11,Conservador,145826.71,46,28,3,2,2,47,931.46,Ativo
